"game_title","publisher","platform","release_year","global_sales","year","market_share_pct","publisher_global_sales","game_count","avg_sales_per_game"
"Grand Theft Auto V","Take-Two Interactive","X360",2013,16.38,2013,12.9842465074804,52.42,17,3.08352941176471
"Grand Theft Auto: Vice City","Take-Two Interactive","PS2",2002,16.15,2002,4.79316207026823,20.3,9,2.25555555555556
"Pokemon Ruby/Pokemon Sapphire","Nintendo","GBA",2002,15.85,2002,11.5390064223649,48.87,23,2.12478260869565
"Pokemon Black/Pokemon White","Nintendo","DS",2010,15.32,2010,10.0394664382304,65.63,38,1.72710526315789
"Brain Age 2: More Training in Minutes a Day","Nintendo","DS",2005,15.3,2005,25.98795818706,132.51,52,2.54826923076923
"Gran Turismo 3: A-Spec","Sony Computer Entertainment","PS2",2001,14.98,2001,12.640134529148,45.1,41,1.1
"Call of Duty: Modern Warfare 3","Activision","X360",2011,14.76,2011,9.1019755147468,52.34,79,0.66253164556962
"Pokémon Yellow: Special Pikachu Edition","Nintendo","GB",1998,14.64,1998,16.8032646342718,49,18,2.72222222222222
"Call of Duty: Black Ops","Activision","X360",2010,14.64,2010,10.7737257541455,70.43,98,0.718673469387755
"Pokemon X/Pokemon Y","Nintendo","3DS",2013,14.35,2013,13.6629347072228,55.16,28,1.97
"Call of Duty: Black Ops 3","Activision","PS4",2015,14.24,2015,12.5264802917173,36.07,42,0.858809523809524
"Call of Duty: Black Ops II","Activision","PS3",2012,14.03,2012,13.5696678013851,57.8,53,1.09056603773585
"Call of Duty: Black Ops II","Activision","X360",2012,13.73,2012,13.5696678013851,57.8,53,1.09056603773585
"Call of Duty: Modern Warfare 2","Activision","X360",2009,13.51,2009,11.3197610765414,81.68,130,0.628307692307692
"Call of Duty: Modern Warfare 3","Activision","PS3",2011,13.46,2011,9.1019755147468,52.34,79,0.66253164556962
"Grand Theft Auto III","Take-Two Interactive","PS2",2001,13.1,2001,5.72589686098655,20.43,12,1.7025
"Super Smash Bros. Brawl","Nintendo","Wii",2008,13.04,2008,12.4731644482611,92.96,35,2.656
"Call of Duty: Black Ops","Activision","PS3",2010,12.73,2010,10.7737257541455,70.43,98,0.718673469387755
"Animal Crossing: Wild World","Nintendo","DS",2005,12.27,2005,25.98795818706,132.51,52,2.54826923076923
"Mario Kart 7","Nintendo","3DS",2011,12.21,2011,9.23066221480245,53.08,32,1.65875
"Halo 3","Microsoft Game Studios","X360",2007,12.14,2007,4.2260230817697,27.5,22,1.25
"Grand Theft Auto V","Take-Two Interactive","PS4",2014,11.98,2014,8.13331541459481,30.26,15,2.01733333333333
"Pokemon HeartGold/Pokemon SoulSilver","Nintendo","DS",2009,11.9,2009,18.4264866887481,132.96,39,3.40923076923077
"Super Mario 64","Nintendo","N64",1996,11.89,1996,33.8237303575495,74.26,20,3.713
"Gran Turismo 4","Sony Computer Entertainment","PS2",2004,11.66,2004,8.44717976464223,37.47,33,1.13545454545455
"Super Mario Galaxy","Nintendo","Wii",2007,11.52,2007,16.2248551626635,105.58,48,2.19958333333333
"Pokemon Omega Ruby/Pokemon Alpha Sapphire","Nintendo","3DS",2014,11.33,2014,13.8879182905523,51.67,25,2.0668
"Super Mario Land 2: 6 Golden Coins","Nintendo","GB",1992,11.18,1992,48.4285887634996,39.91,13,3.07
"Grand Theft Auto IV","Take-Two Interactive","X360",2008,11.02,2008,6.19632889652211,46.18,41,1.12634146341463
"Gran Turismo","Sony Computer Entertainment","PS",1997,10.95,1997,20.6471146459397,45.69,39,1.17153846153846
"Super Mario 3D Land","Nintendo","3DS",2011,10.79,2011,9.23066221480245,53.08,32,1.65875
"Gran Turismo 5","Sony Computer Entertainment","PS3",2010,10.77,2010,5.7639356299333,37.68,47,0.801702127659574
"Call of Duty: Modern Warfare 2","Activision","PS3",2009,10.69,2009,11.3197610765414,81.68,130,0.628307692307692
"Grand Theft Auto IV","Take-Two Interactive","PS3",2008,10.57,2008,6.19632889652211,46.18,41,1.12634146341463
"Super Mario All-Stars","Nintendo","SNES",1993,10.55,1993,35.5489301999298,20.27,10,2.027
"Pokemon FireRed/Pokemon LeafGreen","Nintendo","GBA",2004,10.49,2004,13.9320979304748,61.8,60,1.03
"Super Mario 64","Nintendo","DS",2004,10.42,2004,13.9320979304748,61.8,60,1.03
"Just Dance 3","Ubisoft","Wii",2011,10.26,2011,8.46028102392877,48.65,91,0.534615384615385
"Call of Duty: Ghosts","Activision","X360",2013,10.21,2013,11.2355097592391,45.36,48,0.945
"Halo: Reach","Microsoft Game Studios","X360",2010,9.88,2010,7.52615798812947,49.2,13,3.78461538461538
"Mario Kart 64","Nintendo","N64",1996,9.87,1996,33.8237303575495,74.26,20,3.713
"New Super Mario Bros. 2","Nintendo","3DS",2012,9.82,2012,14.3279727667567,61.03,39,1.56487179487179
"Halo 4","Microsoft Game Studios","X360",2012,9.76,2012,3.59901396877568,15.33,7,2.19
"Final Fantasy VII","Sony Computer Entertainment","PS",1997,9.72,1997,20.6471146459397,45.69,39,1.17153846153846
"Call of Duty: Ghosts","Activision","PS3",2013,9.59,2013,11.2355097592391,45.36,48,0.945
"Just Dance 2","Ubisoft","Wii",2010,9.52,2010,6.60374472251117,43.17,82,0.526463414634146
"Gran Turismo 2","Sony Computer Entertainment","PS",1999,9.49,1999,12.2571959741009,38.24,29,1.31862068965517
"Call of Duty 4: Modern Warfare","Activision","X360",2007,9.32,2007,10.3791126888264,67.54,84,0.804047619047619
"Donkey Kong Country","Nintendo","SNES",1994,9.3,1994,26.6673507079828,25.99,11,2.36272727272727
"Minecraft","Microsoft Game Studios","X360",2013,9.2,2013,4.05974437729119,16.39,8,2.04875
"Animal Crossing: New Leaf","Nintendo","3DS",2012,9.09,2012,14.3279727667567,61.03,39,1.56487179487179
"Mario Party DS","Nintendo","DS",2007,9.02,2007,16.2248551626635,105.58,48,2.19958333333333
"The Elder Scrolls V: Skyrim","Bethesda Softworks","X360",2011,8.84,2011,4.36317473567056,25.09,12,2.09083333333333
"Super Mario Kart","Nintendo","SNES",1992,8.76,1992,48.4285887634996,39.91,13,3.07
"FIFA 16","Electronic Arts","PS4",2015,8.49,2015,15.7735718006598,45.42,32,1.419375
"Wii Party","Nintendo","Wii",2010,8.49,2010,10.0394664382304,65.63,38,1.72710526315789
"Halo 2","Microsoft Game Studios","XB",2004,8.49,2004,3.08625276162135,13.69,14,0.977857142857143
"Mario Party 8","Nintendo","Wii",2007,8.42,2007,16.2248551626635,105.58,48,2.19958333333333
"Pokemon Black 2/Pokemon White 2","Nintendo","DS",2012,8.33,2012,14.3279727667567,61.03,39,1.56487179487179
"FIFA Soccer 13","Electronic Arts","PS3",2012,8.24,2012,12.9968306139218,55.36,49,1.12979591836735
"The Sims 3","Electronic Arts","PC",2009,8.11,2009,11.9891348032762,86.51,115,0.752260869565217
"GoldenEye 007","Nintendo","N64",1997,8.09,1997,11.8667811469113,26.26,14,1.87571428571429
"Mario & Sonic at the Olympic Games","Sega","Wii",2007,8.06,2007,3.94480045487376,25.67,59,0.435084745762712
"Final Fantasy X","Sony Computer Entertainment","PS2",2001,8.05,2001,12.640134529148,45.1,41,1.1
"Final Fantasy VIII","SquareSoft","PS",1999,7.86,1999,4.38810180139753,13.69,9,1.52111111111111
"Pokémon Platinum Version","Nintendo","DS",2008,7.84,2008,12.4731644482611,92.96,35,2.656
"Pac-Man","Atari","2600",1982,7.81,1982,47.5693830652289,26.91,24,1.12125
"Grand Theft Auto: Liberty City Stories","Take-Two Interactive","PSP",2005,7.72,2005,5.15601404224441,26.29,41,0.641219512195122
"Super Mario Galaxy 2","Nintendo","Wii",2010,7.69,2010,10.0394664382304,65.63,38,1.72710526315789
"Star Wars Battlefront (2015)","Electronic Arts","PS4",2015,7.67,2015,15.7735718006598,45.42,32,1.419375
"Call of Duty: Advanced Warfare","Activision","PS4",2014,7.6,2014,12.0010751243112,44.65,45,0.992222222222222
"The Legend of Zelda: Ocarina of Time","Nintendo","N64",1998,7.6,1998,16.8032646342718,49,18,2.72222222222222
"Crash Bandicoot 2: Cortex Strikes Back","Sony Computer Entertainment","PS",1997,7.58,1997,20.6471146459397,45.69,39,1.17153846153846
"Super Mario Bros. 2","Nintendo","NES",1988,7.46,1988,68.2013849897062,36.44,6,6.07333333333333
"Super Smash Bros. for Wii U and 3DS","Nintendo","3DS",2014,7.45,2014,13.8879182905523,51.67,25,2.0668
"Call of Duty: World at War","Activision","X360",2008,7.37,2008,9.13348003434951,68.07,92,0.739891304347826
"Battlefield 3","Electronic Arts","X360",2011,7.34,2011,12.6582498608792,72.79,77,0.945324675324675
"The Legend of Zelda: Twilight Princess","Nintendo","Wii",2006,7.31,2006,37.3890067225078,208.01,61,3.41
"Call of Duty: Black Ops 3","Activision","XOne",2015,7.3,2015,12.5264802917173,36.07,42,0.858809523809524
"Just Dance","Ubisoft","Wii",2009,7.27,2009,7.44903474368391,53.75,120,0.447916666666667
"Battlefield 3","Electronic Arts","PS3",2011,7.23,2011,12.6582498608792,72.79,77,0.945324675324675
"Need for Speed Underground","Electronic Arts","PS2",2003,7.2,2003,17.2986075041429,69.94,88,0.794772727272727
"Tekken 3","Sony Computer Entertainment","PS",1998,7.16,1998,13.5111964610267,39.4,39,1.01025641025641
"Crash Bandicoot 3: Warped","Sony Computer Entertainment","PS",1998,7.13,1998,13.5111964610267,39.4,39,1.01025641025641
"Super Smash Bros. Melee","Nintendo","GC",2001,7.07,2001,14.1115470852018,50.35,26,1.93653846153846
"Mario Kart 8","Nintendo","WiiU",2014,6.96,2014,13.8879182905523,51.67,25,2.0668
"Fallout 4","Bethesda Softworks","PS4",2015,6.96,2015,7.11234589338427,20.48,15,1.36533333333333
"Mario Kart: Double Dash!!","Nintendo","GC",2003,6.95,2003,9.96759911948752,40.3,31,1.3
"Just Dance 4","Ubisoft","Wii",2012,6.91,2012,8.93532104707125,38.06,38,1.00157894736842
"FIFA 14","Electronic Arts","PS3",2013,6.9,2013,13.2889131080947,53.65,46,1.16630434782609
"Need for Speed Underground 2","Electronic Arts","PS2",2004,6.9,2004,15.3005094909599,67.87,87,0.780114942528736
"Medal of Honor: Frontline","Electronic Arts","PS2",2002,6.83,2002,17.2388553078957,73.01,88,0.829659090909091
"Uncharted 3: Drake's Deception","Sony Computer Entertainment","PS3",2011,6.83,2011,4.83792431830829,27.82,40,0.6955
"Crash Bandicoot","Sony Computer Entertainment","PS",1996,6.82,1996,16.8253245274425,36.94,38,0.972105263157895
"Zumba Fitness","505 Games","Wii",2010,6.81,2010,2.24255032735728,14.66,27,0.542962962962963
"Gears of War 2","Microsoft Game Studios","X360",2008,6.76,2008,2.17636324602834,16.22,12,1.35166666666667
"Uncharted 2: Among Thieves","Sony Computer Entertainment","PS3",2009,6.73,2009,5.69036961070998,41.06,56,0.733214285714286
"Call of Duty 4: Modern Warfare","Activision","PS3",2007,6.72,2007,10.3791126888264,67.54,84,0.804047619047619
"FIFA 12","Electronic Arts","PS3",2011,6.69,2011,12.6582498608792,72.79,77,0.945324675324675
"Big Brain Academy","Nintendo","DS",2005,6.67,2005,25.98795818706,132.51,52,2.54826923076923
"Red Dead Redemption","Take-Two Interactive","PS3",2010,6.6,2010,5.48246955883253,35.84,35,1.024
"FIFA 15","Electronic Arts","PS4",2014,6.59,2014,13.4336782690499,49.98,41,1.2190243902439
"Donkey Kong Country Returns","Nintendo","Wii",2010,6.59,2010,10.0394664382304,65.63,38,1.72710526315789
"The Elder Scrolls V: Skyrim","Bethesda Softworks","PS3",2011,6.56,2011,4.36317473567056,25.09,12,2.09083333333333
"The Legend of Zelda","Nintendo","NES",1986,6.51,1986,43.4793307086614,17.67,8,2.20875
"Assassin's Creed III","Ubisoft","PS3",2012,6.5,2012,8.93532104707125,38.06,38,1.00157894736842
"Halo: Combat Evolved","Microsoft Game Studios","XB",2001,6.43,2001,3.78082959641256,13.49,10,1.349
"Pokémon Emerald Version","Nintendo","GBA",2004,6.41,2004,13.9320979304748,61.8,60,1.03
"Kingdom Hearts","Sony Computer Entertainment","PS2",2002,6.4,2002,7.00085001888931,29.65,35,0.847142857142857
"Pokémon Crystal Version","Nintendo","GB",2000,6.39,2000,14.5921311201238,34.9,25,1.396
"Halo 3: ODST","Microsoft Game Studios","X360",2009,6.36,2009,2.16333827625871,15.61,7,2.23
"Red Dead Redemption","Take-Two Interactive","X360",2010,6.34,2010,5.48246955883253,35.84,35,1.024
"Super Mario Sunshine","Nintendo","GC",2002,6.31,2002,11.5390064223649,48.87,23,2.12478260869565
"Street Fighter II: The World Warrior","Capcom","SNES",1992,6.3,1992,17.0246329328965,14.03,7,2.00428571428571
"World of Warcraft","Activision","PC",2004,6.28,2004,8.85973217908833,39.3,48,0.81875
"Driver","GT Interactive","PS",1999,6.27,1999,2.26296557471633,7.06,4,1.765
"Kinect Sports","Microsoft Game Studios","X360",2010,6.24,2010,7.52615798812947,49.2,13,3.78461538461538
"Gears of War 3","Microsoft Game Studios","X360",2011,6.24,2011,3.75104340567613,21.57,12,1.7975
"Gears of War","Microsoft Game Studios","X360",2006,6.11,2006,1.79386705971169,9.98,9,1.10888888888889
"Metal Gear Solid 2: Sons of Liberty","Konami Digital Entertainment","PS2",2001,6.05,2001,6.13508968609865,21.89,39,0.561282051282051
"Sonic the Hedgehog 2","Sega","GEN",1992,6.03,1992,9.7318286615702,8.02,6,1.33666666666667
"Metal Gear Solid 4: Guns of the Patriots","Konami Digital Entertainment","PS3",2008,6.03,2008,3.73282524688708,27.82,64,0.4346875
"Metal Gear Solid","Konami Digital Entertainment","PS",1998,6.03,1998,5.27759679023353,15.39,24,0.64125
"The Last of Us","Sony Computer Entertainment Europe","PS3",2013,5.99,2013,2.60576637273358,10.52,7,1.50285714285714
"Final Fantasy XII","Square Enix","PS2",2006,5.95,2006,2.44814322177086,13.62,13,1.04769230769231
"LittleBigPlanet","Sony Computer Entertainment","PS3",2008,5.92,2008,4.5553349076857,33.95,52,0.652884615384615
"Dragon Quest IX: Sentinels of the Starry Skies","Nintendo","DS",2009,5.84,2009,18.4264866887481,132.96,39,3.40923076923077
"LEGO Star Wars: The Complete Saga","LucasArts","Wii",2007,5.83,2007,2.8736956956034,18.7,11,1.7
"Resident Evil 2","Virgin Interactive","PS",1998,5.82,1998,2.97314906896197,8.67,10,0.867
"Tekken 2","Sony Computer Entertainment","PS",1996,5.74,1996,16.8253245274425,36.94,38,0.972105263157895
"Cooking Mama","505 Games","DS",2006,5.72,2006,1.34989394974296,7.51,23,0.326521739130435
"Destiny","Activision","PS4",2014,5.65,2014,12.0010751243112,44.65,45,0.992222222222222
"Tetris","Nintendo","NES",1988,5.58,1988,68.2013849897062,36.44,6,6.07333333333333
"Assassin's Creed II","Ubisoft","PS3",2009,5.57,2009,7.44903474368391,53.75,120,0.447916666666667
"Super Smash Bros.","Nintendo","N64",1999,5.55,1999,21.0622475799731,65.71,21,3.12904761904762
"Assassin's Creed","Ubisoft","X360",2007,5.55,2007,7.55920274153643,49.19,98,0.501938775510204
"Batman: Arkham City","Warner Bros. Interactive Entertainment","PS3",2011,5.53,2011,4.35795770728993,25.06,21,1.19333333333333
"Forza Motorsport 3","Microsoft Game Studios","X360",2009,5.51,2009,2.16333827625871,15.61,7,2.23
"Monster Hunter Freedom Unite","Capcom","PSP",2008,5.5,2008,2.03145126663804,15.14,31,0.488387096774194
"Super Mario Advance","Nintendo","GBA",2001,5.49,2001,14.1115470852018,50.35,26,1.93653846153846
"Mario Kart: Super Circuit","Nintendo","GBA",2001,5.47,2001,14.1115470852018,50.35,26,1.93653846153846
"Super Mario World","Nintendo","GBA",2001,5.46,2001,14.1115470852018,50.35,26,1.93653846153846
"Pokemon Stadium","Nintendo","N64",1999,5.45,1999,21.0622475799731,65.71,21,3.12904761904762
"Call of Duty: World at War","Activision","PS3",2008,5.43,2008,9.13348003434951,68.07,92,0.739891304347826
"Crash Bandicoot: The Wrath of Cortex","Universal Interactive","PS2",2001,5.42,2001,1.65919282511211,5.92,2,2.96
"Minecraft","Sony Computer Entertainment","PS3",2014,5.42,2014,5.34605563768311,19.89,17,1.17
"Final Fantasy XIII","Square Enix","PS3",2009,5.36,2009,1.567415496764,11.31,21,0.538571428571429
"Dr. Mario","Nintendo","GB",1989,5.34,1989,83.2095870782858,63.88,9,7.09777777777778
"Pokemon Pinball","Nintendo","GB",1999,5.31,1999,21.0622475799731,65.71,21,3.12904761904762
"Assassin's Creed III","Ubisoft","X360",2012,5.3,2012,8.93532104707125,38.06,38,1.00157894736842
"Final Fantasy IX","SquareSoft","PS",2000,5.3,2000,2.73863778902036,6.55,4,1.6375
"Final Fantasy X-2","Electronic Arts","PS2",2003,5.29,2003,17.2986075041429,69.94,88,0.794772727272727
"Donkey Kong 64","Nintendo","N64",1999,5.27,1999,21.0622475799731,65.71,21,3.12904761904762
"Assassin's Creed II","Ubisoft","X360",2009,5.27,2009,7.44903474368391,53.75,120,0.447916666666667
"Professor Layton and the Curious Village","Nintendo","DS",2007,5.26,2007,16.2248551626635,105.58,48,2.19958333333333
"Tomb Raider II","Eidos Interactive","PS",1997,5.24,1997,6.19549008088933,13.71,6,2.285
"Dragon Quest VIII: Journey of the Cursed King","Square Enix","PS2",2004,5.21,2004,1.9072095225213,8.46,7,1.20857142857143
"Diablo III","Activision","PC",2012,5.2,2012,13.5696678013851,57.8,53,1.09056603773585
"Super Mario Bros. 3","Nintendo","GBA",2003,5.2,2003,9.96759911948752,40.3,31,1.3
"New Super Mario Bros. U","Nintendo","WiiU",2012,5.19,2012,14.3279727667567,61.03,39,1.56487179487179
"Super Mario Land 3: Wario Land","Nintendo","GB",1994,5.19,1994,26.6673507079828,25.99,11,2.36272727272727
"FIFA Soccer 13","Electronic Arts","X360",2012,5.18,2012,12.9968306139218,55.36,49,1.12979591836735
"The Legend of Zelda: Phantom Hourglass","Nintendo","DS",2007,5.17,2007,16.2248551626635,105.58,48,2.19958333333333
"Donkey Kong Country 2: Diddy's Kong Quest","Nintendo","SNES",1995,5.15,1995,16.6208035222895,18.12,12,1.51
"Tomodachi Life","Nintendo","3DS",2013,5.15,2013,13.6629347072228,55.16,28,1.97
"Mario & Sonic at the Olympic Games","Sega","DS",2008,5.14,2008,5.13095749248605,38.24,76,0.503157894736842
"Medal of Honor: Rising Sun","Electronic Arts","PS2",2003,5.13,2003,17.2986075041429,69.94,88,0.794772727272727
"Kirby's Dream Land","Nintendo","GB",1992,5.13,1992,48.4285887634996,39.91,13,3.07
"Fable III","Microsoft Game Studios","X360",2010,5.13,2010,7.52615798812947,49.2,13,3.78461538461538
"Call of Duty: Advanced Warfare","Activision","XOne",2014,5.13,2014,12.0010751243112,44.65,45,0.992222222222222
"Microsoft Flight Simulator","Microsoft Game Studios","PC",1996,5.12,1996,2.33204281484855,5.12,1,5.12
"Guitar Hero II","RedOctane","PS2",2006,5.12,2006,0.920300535643671,5.12,1,5.12
"Resident Evil 5","Capcom","PS3",2009,5.11,2009,2.86042934157462,20.64,21,0.982857142857143
"Grand Theft Auto V","Take-Two Interactive","XOne",2014,5.08,2014,8.13331541459481,30.26,15,2.01733333333333
"Grand Theft Auto: Vice City Stories","Take-Two Interactive","PSP",2006,5.08,2006,3.70097422439515,20.59,33,0.623939393939394
"FIFA Soccer 11","Electronic Arts","PS3",2010,5.08,2010,12.4502845254849,81.39,89,0.914494382022472
"Super Mario Bros.","Nintendo","GB",1999,5.07,1999,21.0622475799731,65.71,21,3.12904761904762
"Resident Evil","Virgin Interactive","PS",1996,5.05,1996,6.83671145524937,15.01,14,1.07214285714286
"Tony Hawk's Pro Skater","Activision","PS",1999,5.02,1999,3.6476697224181,11.38,15,0.758666666666667
"Super Smash Bros. for Wii U and 3DS","Nintendo","WiiU",2014,5.02,2014,13.8879182905523,51.67,25,2.0668
"Warzone 2100","Eidos Interactive","PS",1999,5.01,1999,4.99070453234182,15.57,11,1.41545454545455
"Spyro the Dragon","Sony Computer Entertainment","PS",1998,5,1998,13.5111964610267,39.4,39,1.01025641025641
"Link's Crossbow Training","Nintendo","Wii",2007,5,2007,16.2248551626635,105.58,48,2.19958333333333
"Guitar Hero III: Legends of Rock","Activision","PS2",2007,4.98,2007,10.3791126888264,67.54,84,0.804047619047619
"Fallout 3","Bethesda Softworks","X360",2008,4.96,2008,1.52828467153285,11.39,7,1.62714285714286
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","Nintendo","DS",2007,4.96,2007,16.2248551626635,105.58,48,2.19958333333333
"Uncharted: Drake's Fortune","Sony Computer Entertainment","PS3",2007,4.94,2007,6.4681204186068,42.09,49,0.858979591836735
"Madden NFL 06","Electronic Arts","PS2",2005,4.91,2005,13.224420953539,67.43,119,0.566638655462185
"LEGO Star Wars: The Complete Saga","LucasArts","DS",2007,4.9,2007,2.8736956956034,18.7,11,1.7
"Diddy Kong Racing","Nintendo","N64",1997,4.88,1997,11.8667811469113,26.26,14,1.87571428571429
"Monster Hunter Freedom 3","Capcom","PSP",2010,4.87,2010,2.30679801749985,15.08,23,0.655652173913043
"Dr. Mario","Nintendo","NES",1990,4.85,1990,66.5479092443278,35.49,7,5.07
"God of War III","Sony Computer Entertainment","PS3",2010,4.84,2010,5.7639356299333,37.68,47,0.801702127659574
"StarCraft II: Wings of Liberty","Activision","PC",2010,4.83,2010,10.7737257541455,70.43,98,0.718673469387755
"Assassin's Creed","Ubisoft","PS3",2007,4.83,2007,7.55920274153643,49.19,98,0.501938775510204
"FIFA 15","Electronic Arts","PS3",2014,4.82,2014,13.4336782690499,49.98,41,1.2190243902439
"Crash Team Racing","Sony Computer Entertainment","PS",1999,4.79,1999,12.2571959741009,38.24,29,1.31862068965517
"FIFA 17","Electronic Arts","PS4",2016,4.77,2016,16.5611994755145,29.05,27,1.07592592592593
"Batman: Arkham City","Warner Bros. Interactive Entertainment","X360",2011,4.76,2011,4.35795770728993,25.06,21,1.19333333333333
"Driver 2","Atari","PS",2000,4.73,2000,2.0111217962119,4.81,2,2.405
"The Simpsons: Hit & Run","Vivendi Games","PS2",2003,4.7,2003,3.81885187108902,15.44,33,0.467878787878788
"Tony Hawk's Pro Skater 2","Activision","PS",2000,4.68,2000,6.16716143329013,14.75,14,1.05357142857143
"Animal Crossing: City Folk","Nintendo","Wii",2008,4.68,2008,12.4731644482611,92.96,35,2.656
"The Lord of the Rings: The Two Towers","Electronic Arts","PS2",2002,4.67,2002,17.2388553078957,73.01,88,0.829659090909091
"Forza Motorsport 4","Microsoft Game Studios","X360",2011,4.64,2011,3.75104340567613,21.57,12,1.7975
"Tomb Raider","Eidos Interactive","PS",1996,4.63,1996,2.68276019130039,5.89,4,1.4725
"Guitar Hero III: Legends of Rock","Activision","Wii",2007,4.62,2007,10.3791126888264,67.54,84,0.804047619047619
"The Legend of Zelda: A Link to the Past","Nintendo","SNES",1991,4.61,1991,47.3325429756965,15.97,13,1.22846153846154
"The Legend of Zelda: The Wind Waker","Nintendo","GC",2002,4.6,2002,11.5390064223649,48.87,23,2.12478260869565
"Mario & Sonic at the Olympic Winter Games","Sega","Wii",2009,4.58,2009,3.50485746358635,25.29,45,0.562
"Luigi's Mansion: Dark Moon","Nintendo","3DS",2013,4.58,2013,13.6629347072228,55.16,28,1.97
"Splatoon","Nintendo","WiiU",2015,4.57,2015,9.70307345025178,27.94,36,0.776111111111111
"The Last of Us","Sony Computer Entertainment","PS4",2014,4.55,2014,5.34605563768311,19.89,17,1.17
"Guitar Hero III: Legends of Rock","Activision","X360",2007,4.53,2007,10.3791126888264,67.54,84,0.804047619047619
"Madden NFL 2005","Electronic Arts","PS2",2004,4.53,2004,15.3005094909599,67.87,87,0.780114942528736
"Pitfall!","Activision","2600",1981,4.5,1981,24.309904894456,10.48,9,1.16444444444444
"Madden NFL 07","Electronic Arts","PS2",2006,4.49,2006,10.500772908653,58.42,103,0.567184466019418
"Spider-Man: The Movie","Activision","PS2",2002,4.48,2002,6.16263694748772,26.1,52,0.501923076923077
"Dragon Quest VII: Warriors of Eden","Enix Corporation","PS",2000,4.47,2000,2.2410837479617,5.36,3,1.78666666666667
"Uncharted: The Nathan Drake Collection","Sony Computer Entertainment","PS4",2015,4.47,2015,3.87914568501476,11.17,12,0.930833333333333
"Call of Duty: Advanced Warfare","Activision","PS3",2014,4.45,2014,12.0010751243112,44.65,45,0.992222222222222
"God of War","Sony Computer Entertainment","PS2",2005,4.45,2005,6.01502284806527,30.67,52,0.589807692307692
"Nintendo Land","Nintendo","WiiU",2012,4.44,2012,14.3279727667567,61.03,39,1.56487179487179
"Michael Jackson: The Experience","Ubisoft","Wii",2010,4.42,2010,6.60374472251117,43.17,82,0.526463414634146
"Tony Hawk's Pro Skater 3","Activision","PS2",2001,4.41,2001,5.21020179372197,18.59,23,0.808260869565217
"Winning Eleven: Pro Evolution Soccer 2007","Konami Digital Entertainment","PS2",2006,4.39,2006,2.62429449617141,14.6,66,0.221212121212121
"The Elder Scrolls IV: Oblivion","Take-Two Interactive","X360",2006,4.39,2006,3.70097422439515,20.59,33,0.623939393939394
"Zelda II: The Adventure of Link","Nintendo","NES",1987,4.38,1987,49.055829228243,11.95,4,2.9875
"Need for Speed: Most Wanted","Electronic Arts","PS2",2005,4.37,2005,13.224420953539,67.43,119,0.566638655462185
